Origen,Destino,Distancia carretera (km),Distancia 3D (km),Diferencia (km),Tiempo estimado (min)
Acacoyagua,Acala,347.117,347.897,0.781,285.2
Acacoyagua,Acapetahua,33.39,33.553,0.163,58.0
Acacoyagua,Aldama,388.599,390.342,1.742,335.0
Acacoyagua,Altamirano,350.59,354.451,3.861,425.0
Acacoyagua,Amatenango de la Frontera,146.018,149.417,3.399,151.1
Acacoyagua,Amatenango del Valle,301.39,304.619,3.229,293.3
Acacoyagua,Amatán,480.531,483.804,3.273,426.3
Acacoyagua,Arriaga,171.963,172.217,0.254,138.3
Acacoyagua,Bejucal de Ocampo,144.439,148.142,3.703,170.3
Acacoyagua,Bella Vista,179.142,182.668,3.526,182.1
Acacoyagua,Benemérito de las Américas,450.773,456.323,5.549,452.3
Acacoyagua,Berriozábal,293.4,294.162,0.762,243.0
Acacoyagua,Bochil,375.333,376.609,1.276,303.0
Acacoyagua,Cacahoatán,124.406,125.047,0.641,128.9
Acacoyagua,Capitán Luis Ángel Vidal,210.197,221.382,11.185,265.9
Acacoyagua,Catazajá,606.449,607.767,1.318,487.3
Acacoyagua,Chalchihuitán,412.255,414.286,2.031,349.1
Acacoyagua,Chamula,370.422,371.815,1.393,302.6
Acacoyagua,Chanal,411.293,412.73,1.437,358.3
Acacoyagua,Chapultenango,425.975,428.413,2.438,379.9
Acacoyagua,Chenalhó,406.359,408.203,1.844,337.2
Acacoyagua,Chiapa de Corzo,320.524,321.247,0.724,256.9
Acacoyagua,Chiapilla,362.191,363.101,0.91,301.2
Acacoyagua,Chicoasén,338.638,340.014,1.376,282.7
Acacoyagua,Chicomuselo,215.377,218.844,3.467,232.1
Acacoyagua,Chilón,489.397,491.418,2.02,407.1
Acacoyagua,Cintalapa de Figueroa,236.308,236.85,0.541,194.2
Acacoyagua,Coapilla,364.777,366.358,1.581,315.7
Acacoyagua,Comitán de Domínguez,255.853,259.002,3.149,251.1
Acacoyagua,Copainalá,345.906,347.195,1.289,287.5
Acacoyagua,El Bosque,397.158,398.884,1.725,331.1
Acacoyagua,El Parral,344.708,345.461,0.753,290.1
Acacoyagua,El Porvenir,126.689,130.768,4.08,136.8
Acacoyagua,Emiliano Zapata,339.073,339.847,0.774,281.2
Acacoyagua,Escuintla,38.566,38.839,0.273,53.9
Acacoyagua,Francisco León,405.819,407.791,1.972,349.8
Acacoyagua,Frontera Comalapa,184.299,187.27,2.971,191.3
Acacoyagua,Frontera Hidalgo,124.685,124.983,0.298,123.7
Acacoyagua,Honduras de la Sierra,167.712,175.782,8.07,204.0
Acacoyagua,Huehuetán,72.808,73.033,0.225,78.2
Acacoyagua,Huitiupán,440.089,442.448,2.359,377.0
Acacoyagua,Huixtla,55.559,55.756,0.197,63.0
Acacoyagua,Huixtán,384.659,386.003,1.344,306.9
Acacoyagua,Ixhuatán,459.242,461.603,2.361,386.2
Acacoyagua,Ixtacomitán,470.787,472.62,1.833,401.6
Acacoyagua,Ixtapa,342.401,343.41,1.009,273.3
Acacoyagua,Ixtapangajoya,501.342,503.403,2.061,453.8
Acacoyagua,Jiquipilas,241.237,241.792,0.555,201.0
Acacoyagua,Jitotol,400.94,402.655,1.715,330.7
Acacoyagua,Juárez,454.861,456.154,1.293,380.1
Acacoyagua,La Concordia,255.1,258.299,3.199,287.1
Acacoyagua,La Grandeza,147.793,152.744,4.951,160.5
Acacoyagua,La Independencia,266.935,270.076,3.14,263.2
Acacoyagua,La Libertad,640.758,642.099,1.341,510.8
Acacoyagua,La Trinitaria,238.904,242.035,3.131,234.9
Acacoyagua,Larráinzar,386.832,388.335,1.503,343.5
Acacoyagua,Las Margaritas,274.199,277.369,3.169,271.6
Acacoyagua,Las Rosas,294.272,297.493,3.22,291.6
Acacoyagua,Mapastepec,34.352,34.515,0.163,46.0
Acacoyagua,Maravilla Tenejapa,341.875,347.115,5.241,363.7
Acacoyagua,Marqués de Comillas,437.359,442.942,5.583,452.4
Acacoyagua,Mazapa de Madero,126.226,128.912,2.686,141.1
Acacoyagua,Mazatán,95.232,95.472,0.24,100.3
Acacoyagua,Metapa,113.576,113.866,0.29,106.4
Acacoyagua,Montecristo de Guerrero,215.544,224.015,8.472,242.8
Acacoyagua,Motozintla,84.955,85.809,0.854,88.8
Acacoyagua,Nicolás Ruíz,383.69,384.572,0.882,318.7
Acacoyagua,Ocosingo,595.754,598.655,2.901,602.3
Acacoyagua,Ocotepec,388.558,390.374,1.816,351.4
Acacoyagua,Ocozocoautla de Espinosa,261.694,262.372,0.678,213.5
Acacoyagua,Ostuacán,400.293,401.654,1.362,320.0
Acacoyagua,Osumacinta,319.462,320.459,0.997,259.2
Acacoyagua,Oxchuc,410.761,412.276,1.514,333.7
Acacoyagua,Palenque,584.2,587.078,2.878,502.8
Acacoyagua,Pantelhó,428.58,431.134,2.554,378.6
Acacoyagua,Pantepec,396.074,398.442,2.368,363.3
Acacoyagua,Pichucalco,458.669,460.471,1.801,389.0
Acacoyagua,Pijijiapan,66.779,66.979,0.201,66.3
Acacoyagua,Pueblo Nuevo Solistahuacán,415.444,417.297,1.853,340.3
Acacoyagua,Rayón,435.112,437.217,2.104,357.8
Acacoyagua,Reforma,450.579,451.867,1.287,372.5
Acacoyagua,Rincón Chamula San Pedro,423.923,425.839,1.915,349.6
Acacoyagua,Sabanilla,471.382,474.468,3.086,424.7
Acacoyagua,Salto de Agua,557.074,559.789,2.714,479.3
Acacoyagua,San Andrés Duraznal,429.503,431.588,2.085,367.4
Acacoyagua,San Cristóbal de las Casas,355.77,356.931,1.161,281.0
Acacoyagua,San Fernando,304.206,304.967,0.761,249.3
Acacoyagua,San Juan Cancuc,414.596,416.518,1.922,360.3
Acacoyagua,San Lucas,372.921,374.313,1.391,318.8
Acacoyagua,Santiago el Pinar,392.031,393.821,1.789,343.4
Acacoyagua,Siltepec,150.589,155.959,5.37,165.0
Acacoyagua,Simojovel,445.396,447.784,2.388,395.6
Acacoyagua,Sitalá,448.909,451.447,2.537,396.7
Acacoyagua,Socoltenango,281.31,284.407,3.097,302.0
Acacoyagua,Solosuchiapa,481.448,484.621,3.174,411.0
Acacoyagua,Soyaló,341.131,342.654,1.523,291.3
Acacoyagua,Suchiapa,310.139,310.915,0.776,257.6
